"measurement","variance"
"nanou_2017_mpolicy_lrscale3",0
"bakker_hobolt_social_z_score",0.892989095313636
"cmp_left_right_z_score",0.922217449178659
"bakker_hobolt_econ_z_score",0.962898365553083
"RoBERT_left_right_z_score",1.05055567849656
"avg_lss_social_z_score",1.09602765534545
"avg_lss_econ_z_score",1.099419308424
