"token","wordscores_manifesto"
"progress_party",2.34534619623821
"canary_islands",2.86389831396552
"sweden_democrats",2.99829431115465
"center_party",3.0560092678476
"vlaams_belang",3.16515318757554
"open_vld",3.21527700999171
"conservative_party",3.24953609547533
"people's_party",3.33884034395573
"democratic_party",3.44520106119692
"elderly_care",3.48830952076641
"coalición_canaria",3.49122264008628
"freedom_choice",3.53931100836372
"labor_party",3.55264488381919
"upper_secondary",3.57976291617602
"substance_abuse",3.62711535261457
"alliance_government",3.62721897134104
"value_creation",3.62800286830891
"high_north",3.63352844710319
"danish_people's",3.63560466716036
"golden_dawn",3.64417193396958
