"token","wordscores_manifesto"
"akel_left_new_forces",15.8132895223986
"take_advantage_opportunities_offered",15.8481627798049
"corporate_income_tax_rate",15.8627482698271
"propose_implement_following_measures",15.8795777225624
"small_medium-sized_enterprises_smes",15.9027878395967
"use_renewable_energy_sources",15.9071112080113
"gael_general_election_manifesto",15.9110209246728
"fine_gael_general_election",15.9204174555765
"new_nuclear_power_plants",15.9314258247381
"coalición_canaria-partido_nacionalista_canario-partido",15.9510755138784
"canaria-partido_nacionalista_canario-partido_independientes",15.9510755138784
"nacionalista_canario-partido_independientes_lanzarote",15.9510755138784
"also_play_important_role",15.9720154535594
"proliferation_weapons_mass_destruction",15.9813180724098
"autonomous_community_canary_islands",15.9835051647308
"micro_small_medium-sized_enterprises",15.9970235019651
"federal_state_local_governments",15.9989476338261
"autonomous_communities_city_councils",16.0024647456463
"member_states_european_union",16.00815305978
"gross_domestic_product_gdp",16.0081785401438
