"token","wordscores_manifesto"
"n-va",-0.916774443705098
"switzerland",-0.868081760919617
"afd",-0.598719105012492
"vld",-0.57195482432953
"fdp",-0.491833192402571
"god's",-0.489766661978831
"swiss",-0.205877057752279
"edu",0.485974767280918
"netherlands",0.58893167010983
"kke",0.820359796751569
"flanders",1.69149523714786
"dutch",2.02269653591817
"flemish",2.19554869741429
"christian",2.63294859902578
"god",4.62503604572464
"belang",4.97952561593947
"vlaams",5.0861961512883
"vvd",5.74242159505201
"sgp",7.80471384287983
"svp",12.8749598382525
