"token","wordscores_manifesto"
"canary_islands",1.04764362609707
"labor_party",1.58027309574607
"green_party",1.63526691367957
"sinn_féin",1.69706100481923
"cdh_proposes",1.77277562046969
"working_conditions",1.82682767629882
"die_linke",1.87664312118605
"climate_change",1.88779662280394
"autonomous_communities",1.8888921087309
"center_party",1.93246285959935
"plaid_cymru",1.95536121036851
"mental_health",1.95840942735684
"sustainable_development",2.02058666066329
"human_rights",2.04509694896952
"trade_unions",2.05067465275621
"social_rights",2.05411267792657
"public_services",2.05920542272991
"social_environmental",2.06865594298698
"coalición_canaria",2.08045327173985
"people_disabilities",2.09843313564285
