"token","wordscores_manifesto"
"svp",10.2338405001499
"vvd",11.6470368156597
"fdp",12.3184336477321
"cyprus",12.5117515814431
"sgp",12.6976467591258
"animals",13.0580660541904
"greek",13.1403901129101
"vlaams",13.1720212065011
"belang",13.1942027341769
"god",13.3571900725157
"italy",13.35957721459
"kke",13.4047647371177
"dutch",13.5060454925452
"netherlands",13.6310878975535
"germany",13.695234674444
"christian",13.7027392879086
"greece",13.7716200095674
"italian",13.8520319151479
"swiss",13.903722646062
"eaj-pnv",13.9187592089983
