"token","wordscores_manifesto"
"sexual_orientation_gender_identity",2.47830479524528
"convention_rights_persons_disabilities",2.61163413483889
"equal_pay_equal_work",2.65569792159953
"green_party_comhaontas_glas",2.65621684968183
"reduce_greenhouse_gas_emissions",2.65794291927596
"government_pension_fund_global",2.69563504139251
"european_convention_human_rights",2.71262469999045
"discrimination_based_sexual_orientation",2.71858511077455
"state_security_forces_corps",2.71987304912916
"universal_declaration_human_rights",2.72119445132024
"sustainable_development_goals_sdgs",2.72281268739569
"based_sexual_orientation_gender",2.72440042468062
"lesbian_gay_bisexual_transgender",2.73965741187315
"autonomous_community_canary_islands",2.7420120819785
"propose_implement_following_measures",2.74379445205919
"public_social_security_system",2.74907250378139
"unaccompanied_minor_asylum_seekers",2.75501529563609
"early_childhood_education_care",2.7566302072549
"reconciliation_work_family_life",2.75764352572922
"autonomous_communities_city_councils",2.76277793546192
